	name	cat	address	emp	vac
83	"АО ""ФПК"""	Перевозка пассажиров железнодорожным транспортом в междугородном сообщении	690088, г Владивосток, ш Военное, д. 1, корп. а	1008	5
84	"АО ""ШУ ВОСТОЧНОЕ"""	Добыча антрацита подземным способом	692567, р-н Октябрьский, пгт Липовцы, ул Ленина, д. 2	14	0
85	"АО ""Экспресс Приморья"""	Перевозка пассажиров железнодорожным транспортом в междугородном сообщении…	690002, г Владивосток, ул Амурская, д. 88	444	2
86	"АО ВМУ ""ДЭМ"""	Производство электромонтажных работ…	690011, г Владивосток, ул Новожилова, д. 21	134	4
87	"АО ВП ""ЭРА"""	Ремонт электрического оборудования…	690001, г Владивосток, ул Пионерская, д. 1, Кабинет 102, 103А. Режим работы с 08.30 до 17.30 (обед с 12.00 до 13.00)	593	20
88	АО Райффайзенбанк филиал Дальневосточный Операционный офис Владивостокский	Денежное посредничество прочее	690002, г Владивосток, пр-кт Острякова, д. 8	46	0
89	"АО ХК ""ДМП"""	Рыболовство морское…	690091, г Владивосток, ул Пологая, д. 53	169	0
90	"Арсеньевский филиал КГКУ ""Приморское лесничество"""	Лесоводство и прочая лесохозяйственная деятельность	692331, г Арсеньев, ул 9 Мая, д. 83	50	5
91	"Артемовский филиал КГУП ""Примтеплоэнерго"""	Передача пара и горячей воды (тепловой энергии)	г Артем, ул Кирова, д. 7, корп. а	682	13
92	"Ассоциация ""ФК ""Луч"""	Деятельность спортивных объектов	690048, г Владивосток, ул Овчинникова, д. 26, корп. а	81	0
93	"Банк ""Таатта"" АО"	Денежное посредничество прочее	690091, г Владивосток, ул Суханова, д. 3, корп. А, 1-й этаж	382	0
94	БАРТКО РОМАН ВЛАДИМИРОВИЧ	Торговля розничная замороженными продуктами в неспециализированных магазинах	690069, г Владивосток, ул Давыдова, д. 18	52	0
95	"Большекаменский филиал КГУП ""Примтеплоэнерго"""	Производство пара и горячей воды (тепловой энергии)…	692802, г Большой Камень, ул Имени В.А.Маслакова, д. 10	370	15
96	БСИ ДВО РАН	Научные исследования и разработки в области естественных и технических наук прочие	690024, г Владивосток, ул Маковского, д. 142	130	0
97	В/ч 13079	Хранение ядерных материалов и радиоактивных веществ	385000, г Владивосток, бухта Горностай	434	0
98	в/ч 25030-2	Деятельность, связанная с обеспечением военной безопасности	692490, р-н Надеждинский, с Прохладное, ул Центральная, д. 2	1620	1
99	В/ч 25151 ФБУ	Деятельность, связанная с обеспечением военной безопасности	690077, г Владивосток, ул Вилкова, д. 41	110	0
100	В/ч 40128	Деятельность, связанная с обеспечением военной безопасности	690001, г Владивосток, ул Экипажная, д. 8	1344	0
101	"Верхне-Перевальнинский филиал КГКУ ""Приморское лесничество"""	Лесоводство и прочая лесохозяйственная деятельность	692020, р-н Пожарский, с Пожарское, ул Партизанская, д. 1	32	2
102	"Владивостокская дистанция электроснабжения структурное подразделение Дальневосточной дирекции по энергообеспечению - структурное подразделение Трансэнерго - филиала ОАО ""РЖД"""	Деятельность железнодорожного транспорта: междугородные и международные пассажирские перевозки…	690062, г Владивосток, ул Проходная 1-я, д. 44, корп. А	272	6
103	Владивостокская механизированная дистанция погрузочно-разгрузочных работ и коммерческих операций	Деятельность железнодорожного транспорта: междугородные и международные пассажирские перевозки	690002, г Владивосток, ул Амурская, д. 88	311	9
104	"ВЛАДИВОСТОКСКАЯ СДАТОЧНАЯ БАЗА АО ""ХАБАРОВСКИЙ СУДОСТРОИТЕЛЬНЫЙ ЗАВОД"""	Ремонт и техническое обслуживание судов и лодок	690001, г Владивосток, ул Дальзаводская, д. 2	н/д	0
105	Владивостокская таможня	Деятельность органов государственного управления и местного самоуправления по вопросам общего характера…	690003, г Владивосток, ул Посьетская, д. 21, корп. А	930	0
106	Владивостокская Фармацевтическая фабрика ОАО	Производство лекарственных препаратов	690034, г Владивосток, ул Воропаева, д. 9	90	0
107	"Владивостокский ДКЖ - СП ДСС ДВЖД - филиала ОАО ""РЖД"""	Деятельность железнодорожного транспорта: междугородные и международные пассажирские перевозки	г Владивосток, пр-кт Партизанский, д. 62, корп. А	46	1
108	"Владивостокский отдел материально-технического обеспечения Дальневосточной дирекции снабжения - структурного подразделения Центральной дирекции закупок и снабжения - филиала ОАО ""РЖД"""	Деятельность железнодорожного транспорта: междугородные и международные пассажирские перевозки…	690088, г Владивосток, ул Военное шоссе, д. 5, корп. В	92	1
109	"Владивостокский региональный центр связи-структурное подразделение Хабаровской дирекции связи Центральной станции связи- филиал ОАО ""РЖД"""	Деятельность железнодорожного транспорта: междугородные и международные пассажирские перевозки…	690078, г Владивосток, ул Амурская, д. 96	340	2
110	"Владивостокский филиал  НОУ ВПО ""Санкт-Петербургский гуманитарный университет профсоюзов"""	Образование высшее	690091, г Владивосток, ул Всеволода Сибирцева, д. 15, 5-й этаж	46	0
111	"Владивостокский филиал АО ""АльфаСтрахование"""	Деятельность вспомогательная в сфере страхования и пенсионного обеспечения…	690002, г Владивосток, пр-кт Острякова, д. 5, корп. г	56	0
112	"ВЛАДИВОСТОКСКИЙ ФИЛИАЛ АО ""ПЕРВАЯ ГРУЗОВАЯ КОМПАНИЯ"""	Деятельность железнодорожного транспорта: междугородные и международные пассажирские перевозки	"690091, г Владивосток, пр-кт Океанский, д. 17, административное здание ""Фрэш плаза"", этаж 12"	77	2
113	"ВЛАДИВОСТОКСКИЙ ФИЛИАЛ АО ""СОГАЗ"""	Страхование, кроме страхования жизни	690002, г Владивосток, пр-кт Океанский, д. 112, корп. А	85	0
114	"ВЛАДИВОСТОКСКИЙ ФИЛИАЛ КГУП ""ПРИМТЕПЛОЭНЕРГО"""	Производство пара и горячей воды (тепловой энергии)…	690001, г Владивосток, ул Дальзаводская, д. 2, СТР.13. Собеседование по предварительному звонку	506	10
115	"Владивостокский филиал ФГКОУ ВО ""Дальневосточный юридический институт Министерства внутренних дел Российской Федерации"""	Образование высшее	690087, г Владивосток, ул Котельникова, д. 21	75	3
116	"Владивостокский филиал ФГУП ""Национальные рыбные ресурсы"""	Рыболовство	690012, г Владивосток, ул Березовая, д. 25, Здание находится на территории порта, требуется оформление спецпропуска.	50	2
117	"Владивостокский центр организации работы железнодорожных станций структурное подразделение Дальневосточной дирекции управления движением – структурного подразделения Центральной дирекции управления движением - филиала ОАО ""РЖД"" "	Деятельность железнодорожного транспорта: междугородные и международные пассажирские перевозки…	690091, г Владивосток, ул Алеутская, д. 6, офис 106,114	2026	15
118	"Владивостокское лесничество МО РФ - Филиал ФГКУ ""УЛХИП"" Минобороны России"	Лесоводство и прочая лесохозяйственная деятельность…	690003, г Владивосток, ул Посьетская, д. 15, 1 этаж, отдел кадров. Собеседование по предварительной записи по телефону	150	1
119	Владивостокское ЛУ МВД России на транспорте	Деятельность по обеспечению общественного порядка и безопасности	690003, г Владивосток, ул Верхнепортовая, д. 5, корп. А	313	1
120	ВОЕННЫЙ КОМИССАРИАТ ПРИМОРСКОГО КРАЯ	Деятельность, связанная с обеспечением военной безопасности	690069, г Владивосток, ул Давыдова, д. 11	974	21
121	Войсковая часть 2459 ПУ ФСБ России по Приморскому краю	Деятельность по обеспечению общественного порядка и безопасности	690091, г Владивосток, ул Светланская, д. 67	93	16
122	Войсковая часть 25030-2	Деятельность, связанная с обеспечением военной безопасности	690912, г Владивосток, п Трудовое, ул Лермонтова, д. 84, Ориентир дом 84 (сразу за этим домом)	1620	5
123	Войсковая часть 25030-23	Деятельность, связанная с обеспечением военной безопасности	690105, г Владивосток, ул Русская, д. 73ж	18964	1
124	ВОЙСКОВАЯ ЧАСТЬ 45163 ФКУ УФО МО РФ ПО ПРИМОРСКОМУ КРАЮ	Деятельность, связанная с обеспечением военной безопасности	690017, г Владивосток, ул Патрокл, д. 27	234	10
125	Войсковая часть 51335	Деятельность, связанная с обеспечением военной безопасности	690001, г Владивосток, ул Дальзаводская, д. 27, корп. А	102	1
126	Войсковая часть 77194	Деятельность, связанная с обеспечением военной безопасности	690001, г Владивосток, ул Экипажная, д. 8, строение 28	415	9
127	Восточная больница ФГБУЗ ДВОМЦ ФМБА России	Деятельность больничных организаций	692943, г Находка, мкр Врангель, ул Бабкина, д. 19	215	12
128	ГАПК	Деятельность библиотек, архивов, музеев и прочих объектов культуры	690080, г Владивосток, ул Командорская, д. 11, 3 этаж	72	2
129	"ГАПОУ ""Приморский краевой колледж искусств"""	Образование профессиональное среднее	690039, г Владивосток, ул Русская, д. 40	199	0
130	ГАУ ДПО ПК ИРО	Образование профессиональное дополнительное…	690003, г Владивосток, ул Станюковича, д. 28	123	1
131	"ГАУЗ ""КККВД"""	Деятельность больничных организаций	690033, г Владивосток, ул Гамарника, д. 18, корп. В	323	3
132	"ГАУЗ ""ККЦ СВМП"""	Деятельность больничных организаций	690091, г Владивосток, ул Уборевича, д. 30, корп. 37	667	16
133	"ГАУЗ ""КРАЕВАЯ СТОМАТОЛОГИЧЕСКАЯ ПОЛИКЛИНИКА"""	Стоматологическая практика	690037, г Владивосток, ул Адмирала Кузнецова, д. 64, корп. а	65	5
134	"ГАУЗ ""ПК МИАЦ"""	Деятельность, связанная с использованием вычислительной техники и информационных технологий, прочая	690091, г Владивосток, ул Лазо, д. 9	69	0
135	"ГАУК ""Крайдрамтеатр имени М.Горького"""	Деятельность в области исполнительских искусств	г Владивосток, ул.Светланская, 49	186	5
136	"ГАУК ""Приморская краевая филармония"""	Деятельность в области исполнительских искусств	690091, г Владивосток, ул Светланская, д. 15	145	0
137	"ГАУК ""Приморский краевой театр кукол"""	Деятельность в области исполнительских искусств	690091, г Владивосток, ул Петра Великого, д. 8	58	0
138	"ГАУК ""Театр молодежи"""	Деятельность учреждений культуры и искусства	690091, г Владивосток, ул Светланская, д. 15, корп. А	121	0
139	"ГБУ ""ХОЗУ"""	Управление эксплуатацией нежилого фонда за вознаграждение или на договорной основе	690091, г Владивосток, ул Алеутская, д. 16, офис 220	537	1
140	"ГБУЗ ""КДКБ № 1"""	Деятельность больничных организаций	690002, г Владивосток, пр-кт Острякова, д. 27	489	10
141	"ГБУЗ ""ККДПБ"""	Деятельность больничных организаций	690088, г Владивосток, ул Жигура, д. 50, корп. А	97	3
142	"ГБУЗ ""ККПБ"""	Деятельность больничных организаций	690013, г Владивосток, ул Шепеткова, д. 14	426	3
143	"ГБУЗ ""КНД"""	Деятельность больничных организаций	690003, г Владивосток, ул Станюковича, д. 53	296	7
144	"ГБУЗ ""Краевая клиническая инфекционная больница"""	Деятельность больничных организаций	690065, г Владивосток, ул Крыгина, д. 19	71	2
145	"ГБУЗ ""КСПК"""	Деятельность в области медицины прочая	690091, г Владивосток, ул Октябрьская, д. 6	187	4
146	"ГБУЗ ""ПДККТБ"""	Деятельность больничных организаций	690024, г Владивосток, ул Вторая, д. 21	364	13
147	"ГБУЗ ""ПК БЮРО СМЭ"""	Деятельность организаций судебно-медицинской экспертизы	г Владивосток, ул Русская, д. 61, корп. В	264	4
148	"ГБУЗ ""ПКПЦ"""	Деятельность больничных организаций	690011, г Владивосток, ул Можайская, д. 1, корп. Б	419	10
149	"ГБУЗ ""Приморская краевая клиническая больница № 1"" (""ГБУЗ ""ПККБ № 1"")"	Деятельность больничных организаций	690091, г Владивосток, ул Алеутская, д. 57	1093	22
150	"ГБУЗ ""Приморский краевой онкологический диспансер"" (ГБУЗ ""ПКОД"")"	Деятельность больничных организаций	690105, г Владивосток, ул Русская, д. 59	470	0
151	"ГБУЗ ""Приморский краевой противотуберкулезный диспансер"" (ГБУЗ ""ПКПД"")"	Деятельность больничных организаций	690041, г Владивосток, ул Пятнадцатая, д. 2	655	29
152	"ГБУЗ ""Приморский краевой противотуберкулезный диспансер"" филиал № 4"	Деятельность больничных организаций	692924, г Находка, ул Вознесенская, д. 9	104	5
153	ГБУЗ ККБ № 2	Деятельность больничных организаций	690105, г Владивосток, ул Русская, д. 55	858	2
154	ГБУЗ Краевая детская клиническая больница № 2	Деятельность больничных организаций	690063, г Владивосток, ул Приморская, д. 6	346	5
155	"ГБУК ""ПКПБ им. А.М. Горького"""	Деятельность библиотек, архивов, музеев и прочих объектов культуры	690014, г Владивосток, ул Некрасовская, д. 59, корп. А	64	0
156	Гимназия № 2	Образование среднее общее	690002, г Владивосток, пр-кт Океанский, д. 143	111	4
157	ГКУ Приморского края по пожарной безопасности, ГОЧС	Деятельность по обеспечению безопасности в чрезвычайных ситуациях прочая…	690091, г Владивосток, ул Семеновская, д. 36	1738	0
158	ГКУ Приморское казначейство	Управление финансовой деятельностью и деятельностью в сфере налогообложения	690007, г Владивосток, ул Морская 1-я, д. 2	79	1
159	"ГКУЗ ""КПДР"""	Деятельность больничных организаций	690017, г Владивосток, ул Окатовая, д. 46	348	2
160	"ГКУЗ ""Краевой психоневрологический дом ребенка""филиал №2"	Деятельность больничных организаций	г Артем, Ленина 3/1	149	0
161	"ГКУК ""ПКДБ"""	Деятельность библиотек, архивов, музеев и прочих объектов культуры	690048, г Владивосток, пр-кт 100 лет Владивостоку, д. 48	44	4
162	ГЛАВНОЕ УПРАВЛЕНИЕ МИНЮСТА РОССИИ ПО ПРИМОРСКОМУ КРАЮ	Деятельность полномочных представителей Президента Российской Федерации в регионах Российской Федерации и территориальных органов федеральных органов исполнительной власти в субъектах Российской Федерации (республиках, краях, областях)	690001, г Владивосток, ул Пушкинская, д. 93	42	8
163	Главное управление МЧС России по Приморскому краю	Деятельность по обеспечению безопасности в чрезвычайных ситуациях прочая…	690091, г Владивосток, ул Суханова, д. 3	2802	12
164	"ГОАУ ДОД ""ДЮЦ ПРИМОРСКОГО КРАЯ"""	Образование дополнительное детей и взрослых…	690033, г Владивосток, ул Иртышская, д. 10	42	0
165	Гострудинспекция в Приморском крае	Государственное регулирование деятельности в области здравоохранения, образования, социально-культурного развития и других социальных услуг, кроме социального обеспечения	690091, г Владивосток, ул Пологая, д. 68	41	0
166	ГУ - Приморское РО Фонда социального страхования Российской Федерации	Прочие виды страхования, не включенные в другие группировки…	690001, г Владивосток, ул Муравьева-Амурского, д. 1, корп. б	380	10
167	ГУ ТФОМС ПК	Деятельность в области обязательного социального обеспечения	690091, г Владивосток, ул Пологая, д. 21, офис 35, 5-й этаж	114	4
168	ГУФСИН России по Приморскому краю	Деятельность полномочных представителей Президента Российской Федерации в регионах Российской Федерации и территориальных органов федеральных органов исполнительной власти в субъектах Российской Федерации (республиках, краях, областях)	690105, г Владивосток, ул Арсенальная, д. 15	4760	1
